deco;triangulos;vertices;mallas;renderers;prefab
deco_anchor_oldrust;2512;2043;5;19;Assets/ThirdParty/Props/HallAnchor/Prefabs/hall_anchor_prefab.prefab
deco_anchor_rust;2512;2043;5;19;Assets/ThirdParty/Props/HallAnchor/Prefabs/hall_anchor_prefab.prefab
deco_rock_hq_1;300;216;1;1;Assets/ThirdParty/HQ Rocks/Prefabs/Rock_1_v1.prefab
deco_rock_hq_2;300;216;1;1;Assets/ThirdParty/HQ Rocks/Prefabs/Rock_4_v1.prefab
deco_rock_hq_3;300;216;1;1;Assets/ThirdParty/HQ Rocks/Prefabs/Rock_7_v1.prefab
sub_coral_rubble;0;0;0;0;(sin prefab — sustrato)
sub_gold;0;0;0;0;(sin prefab — sustrato)
sub_gravel;0;0;0;0;(sin prefab — sustrato)
sub_ice;0;0;0;0;(sin prefab — sustrato)
sub_lava;0;0;0;0;(sin prefab — sustrato)
sub_moss;0;0;0;0;(sin prefab — sustrato)
sub_mud;0;0;0;0;(sin prefab — sustrato)
sub_pebbles;0;0;0;0;(sin prefab — sustrato)
sub_sand;0;0;0;0;(sin prefab — sustrato)
sub_slate;0;0;0;0;(sin prefab — sustrato)
sub_volcanic;0;0;0;0;(sin prefab — sustrato)
sub_white;0;0;0;0;(sin prefab — sustrato)
